name,chr,strand,start,end,symbol,selected_identifier
7942135,chr11,+,69602055,69713299,ANO1,NM_018043
7942168,chr11,+,69726916,69731156,FADD,NM_003824
7942174,chr11,+,69794470,69908150,PPFIA1,NM_003626
7942204,chr11,+,69922259,69960338,CTTN,NM_005231
7942228,chr11,+,70386542,70388867,C11orf76,BC004224
7942232,chr11,+,70841864,70890229,NADSYN1,NM_018161
7942255,chr11,+,70926718,70927901,KRTAP5-7,NM_021046
7942261,chr11,+,70937113,70938301,KRTAP5-9,NM_005553
7942267,chr11,+,70954256,70955314,KRTAP5-10,NM_001012710
7942274,chr11,+,70980133,70982900,OR7E87P,ENST00000329336
7942277,chr11,+,71008862,71009513,---,ENST00000315331
7942279,chr11,-,67315815,67329369,FAM86C,BC063712
7942287,chr11,+,71282262,71282913,---,ENST00000317718
7942289,chr11,+,71317415,71386289,RNF121,NM_018320
7942300,chr11,+,71387605,71391222,IL18BP,NM_001039659
7942315,chr11,+,71469552,71485584,LRRC51,ENST00000289488
7942326,chr11,+,71492767,71492862,---,ENST00000387560
7942328,chr11,+,71524418,71528582,FOLR3,NM_000804
7942332,chr11,+,71578905,71584990,FOLR1,NM_016730
7942342,chr11,+,71613472,71627797,INPPL1,ENST00000298229
7942372,chr11,+,71605466,71610642,FOLR2,NM_000803
7942379,chr11,+,72154696,72154809,---,ENST00000365652
7942381,chr11,+,72203098,72218328,ATG16L2,NM_033388
7942400,chr11,+,72606991,72625043,P2RY2,NM_176072
7942409,chr11,+,72658586,72686498,P2RY6,NM_176798
7942417,chr11,+,72697310,72758072,ARHGEF17,NM_014786
7942439,chr11,+,72765360,72786167,RELT,NM_032871
7942453,chr11,+,73036357,73051510,PLEKHB1,AF100612
7942465,chr11,+,73176008,73253303,MRPL48,AF151876
7942476,chr11,+,73265680,73316427,PAAF1,NM_025155
7942489,chr11,+,73339011,73358980,DNAJB13,NM_153614
7942503,chr11,+,73560015,73643396,PPME1,NM_016147
7942520,chr11,+,73882132,73886934,---,BC019340
7942525,chr11,+,73955697,73955765,---,ENST00000387645
7942527,chr11,+,73981276,74031413,POLD3,NM_006591
7942544,chr11,+,74137560,74231106,RNF169,NM_001098638
7942551,chr11,+,74234603,74234895,---,ENST00000387660
7942562,chr11,+,74377597,74396391,NEU3,NM_006656
7942569,chr11,+,74539687,74595092,SLCO2B1,NM_007256
7942586,chr11,+,74788209,74794381,RPS3,NM_001005
7942592,chr11,+,74789082,74789230,SNORD15A,NR_000005
7942594,chr11,+,74793112,74793258,SNORD15B,NR_000025
7942596,chr11,+,74950817,74961494,SERPINH1,NM_001235
7942603,chr11,+,75106581,75119979,MOGAT2,NM_025098
7942613,chr11,+,75157425,75190227,DGAT2,NM_032564
7942626,chr11,+,75203859,75532930,UVRAG,NM_003369
7942645,chr11,+,75323631,75323712,---,ENST00000387754
7942647,chr11,+,75770159,75772469,LOC387790,AK095089
7942650,chr11,+,75835591,75938901,C11orf30,BC117265
7942674,chr11,+,76171932,76186846,TSKU,NM_015516
7942679,chr11,+,76249564,76412498,PHCA,NM_018367
7942693,chr11,+,76423082,76430653,B3GNT6,NM_138706
7942697,chr11,+,76455639,76514846,CAPN5,NM_004055
7942715,chr11,+,76491533,76492025,OMP,NM_006189
7942717,chr11,+,76516957,76603934,MYO7A,NM_000260
7942769,chr11,+,76862063,76865722,DKFZp434E1119,AL834516
7942774,chr11,+,76978327,76998341,AQP11,NM_173039
7942779,chr11,+,77080342,77080444,---,ENST00000384089
7942781,chr11,+,77182334,77182646,---,ENST00000363983
7942783,chr11,+,77209855,77261045,C11orf67,BC002752
7942793,chr11,+,77452554,77457045,THRSP,NM_003251
7942796,chr11,+,77562468,77564017,LOC387793,BC062331
7942798,chr11,+,77577605,77603401,USP35,NM_020798
7942809,chr11,+,78481991,78486529,---,BC008359
7942812,chr11,+,79916651,79916758,---,ENST00000363276
7942814,chr11,+,80940434,80940502,---,ENST00000387816
7942818,chr11,+,80942597,80942666,---,ENST00000387823
7942820,chr11,+,80942667,80942725,---,ENST00000387828
7942822,chr11,+,80942725,80942796,---,ENST00000387831
7942830,chr11,+,82211136,82211244,GCRG224,ENST00000391393
7942832,chr11,+,82290425,82323345,C11orf82,AK292399
7942839,chr11,+,82545784,82574483,PCF11,NM_015885
7942858,chr11,+,82582938,82637661,ANKRD42,NM_182603
7942875,chr11,+,84872659,84872952,ANKRD42,ENST00000387863
7942877,chr11,+,84898629,84898736,---,ENST00000383856
7942879,chr11,+,85017309,85025185,TMEM126B,NM_018480
7942889,chr11,+,85036692,85045235,TMEM126A,NM_032273
7942896,chr11,+,85243791,85308699,CCDC83,NM_173556
7942910,chr11,+,85482881,85482983,---,ENST00000387875
7942912,chr11,+,85541916,85542024,---,ENST00000364007
7942914,chr11,+,85633462,85667428,EED,NM_152991
7942932,chr11,+,85690900,85734632,C11orf73,NM_016401
7942941,chr11,+,85763425,85811798,CCDC81,NM_021827
7942957,chr11,+,86189138,86199921,PRSS23,NM_007173
7942964,chr11,+,86426547,86712215,TMEM135,ENST00000305494
7942985,chr11,+,87203107,87203175,---,ENST00000387923
7942987,chr11,+,87204695,87204763,---,ENST00000387935
7942989,chr11,+,87472810,87472921,---,ENST00000383963
7942991,chr11,+,88550687,88668575,TYR,NM_000372
7943049,chr11,+,89491206,89491277,---,ENST00000384569
7943051,chr11,+,89507465,89565427,NAALAD2,NM_005467
7943075,chr11,+,91724909,92269283,FAT3,NM_001008781
7943098,chr11,+,92342436,92355596,MTNR1B,NM_005959
7943103,chr11,+,92702803,92788014,CCDC67,AK127973
7943124,chr11,+,92929726,92930020,---,ENST00000388011
7943126,chr11,+,93095315,93102894,KIAA1731,AK098232
7943156,chr11,+,93092416,93092529,---,ENST00000363005
7943158,chr11,+,93094327,93094680,SCARNA9,NR_002569
7943160,chr11,+,93094327,93094680,SCARNA9,NR_002569
7943162,chr11,+,93114488,93135117,C11orf54,AK292215
7943176,chr11,+,93157052,93186144,MED17,NM_004268
7943193,chr11,+,93170026,93170125,---,ENST00000388097
7943195,chr11,+,93200435,93200548,---,ENST00000384184
7943197,chr11,+,93394025,93487022,HEPHL1,NM_001098672
7943218,chr11,+,93501741,93554785,PANX1,NM_015368
7943226,chr11,+,93678450,93680506,LOC390243,NM_001080486
7943231,chr11,+,93866800,93872392,ANKRD49,NM_017704
7943236,chr11,+,93916774,93922712,FUT4,ENST00000358752
7943240,chr11,+,93940121,93994234,PIWIL4,NM_152431
7943263,chr11,+,94141155,94249566,AMOTL1,NM_130847
7943282,chr11,+,94346492,94372324,JMJD2D,NM_018039
7943288,chr11,+,94439977,94441931,SFRS2B,BC057783
7943293,chr11,+,94462664,94505463,ENDOD1,NM_015036
7943297,chr11,+,95163289,95205502,CEP57,NM_014679
7943314,chr11,+,95763512,95766375,JRKL,AF004715
7943317,chr11,+,97033673,97033792,---,ENST00000362445
7943319,chr11,+,98397080,99732683,CNTN5,NM_014361
7943345,chr11,+,98496127,98496365,---,ENST00000388171
7943347,chr11,+,100215016,100216041,---,AF143327
7943349,chr11,+,100335790,100364810,FLJ32810,AK057372
7943367,chr11,+,100310214,100310319,---,ENST00000388192
7943369,chr11,+,100368020,100369876,TMEM133,NM_032021
7943376,chr11,+,101290955,101377003,KIAA1377,NM_020802
7943387,chr11,+,101423398,101452051,C11orf70,BC054869
7943398,chr11,+,101486419,101609364,YAP1,NM_006106
7943411,chr11,+,101689662,101689770,---,ENST00000391164
7943413,chr11,+,101693403,101713675,BIRC3,NM_001165
7943424,chr11,+,101723175,101754611,BIRC2,NM_001166
7943437,chr11,+,101844287,101844353,---,ENST00000388213
7943442,chr11,+,102485460,102855359,DYNC2H1,AB231766
7943498,chr11,+,102485369,102855801,DYNC2H1,NM_001080463
7943513,chr11,+,102780177,102780245,---,ENST00000388227
7943515,chr11,+,102781851,102781910,---,ENST00000388240
7943517,chr11,+,102781934,102782007,---,ENST00000388243
7943519,chr11,+,102782008,102782075,---,ENST00000388249
7943521,chr11,+,103412517,103415132,DDI1,NM_001001711
7943526,chr11,+,103617998,103618060,---,ENST00000386363
7943530,chr11,+,104986009,105358029,GRIA4,NM_000829
7943552,chr11,+,105453501,105474629,AASDHPPT,NM_015423
7943562,chr11,+,106967026,107042715,ELMOD1,NM_018712
7943573,chr11,+,106967680,106969159,LOC643923,ENST00000299326
7943577,chr11,+,107304486,107339418,RAB39,NM_017516
7943580,chr11,+,107384617,107483698,CUL5,NM_003478
7943605,chr11,+,107497467,107524099,ACAT1,NM_000019
7943620,chr11,+,107598768,107745036,ATM,NM_000051
7943690,chr11,+,108041025,108316858,DDX10,NM_004398
7943707,chr11,+,108333654,108335733,SKCG-1,AY662656
7943709,chr11,+,108381453,108381560,---,ENST00000364373
7943711,chr11,+,108798084,108801532,C11orf87,BC068577
7943715,chr11,+,109469296,109547776,ZC3H12C,NM_033390
7943721,chr11,+,109805803,109840815,FDX1,NM_004109
7943729,chr11,+,110631916,110662180,C11orf53,BC039669
7943736,chr11,+,110888872,110888956,---,hsa-mir-34b
7943738,chr11,+,110889373,110889450,LOC728196,hsa-mir-34c
7943740,chr11,+,110890719,110912966,C11orf88,NM_207430
7943749,chr11,+,110916442,110936998,LAYN,NM_178834
7943760,chr11,+,110978379,111102842,SNF1LK2,NM_015191
7943779,chr11,+,111255474,111261774,C11orf1,ENST00000260276
7943787,chr11,+,111288175,111290026,HSPB2,ENST00000304298
7943795,chr11,+,111288686,111302800,C11orf52,BC110872
7943803,chr11,+,111353242,111398517,DIXDC1,NM_033425
7943827,chr11,+,111400747,111440210,DLAT,NM_001931
7943842,chr11,+,111450177,111461084,C11orf57,NM_018195
7943853,chr11,+,111462780,111471727,SDHD,NM_003002
7943859,chr11,+,111543304,111548489,TEX12,NM_031275
7943867,chr11,+,111551417,111594859,BCO2,NM_031938
7943882,chr11,+,111602297,111609905,PTS,NM_000317
7943890,chr11,+,111636197,111637327,LOC100132686,BC020894
7943892,chr11,+,112337367,112652530,NCAM1,BC047244
7943917,chr11,+,112623359,112624178,UNQ2550,AY358815
7943919,chr11,+,112690742,112759476,TTC12,ENST00000393020
7943943,chr11,+,112763722,112776350,ANKK1,NM_178510
7943956,chr11,+,113235277,113235381,---,ENST00000364817
7943958,chr11,+,113280798,113322493,HTR3B,NM_006028
7943969,chr11,+,113351138,113366242,HTR3A,BC004453
7943984,chr11,+,113435524,113626562,ZBTB16,ENST00000335953
7943998,chr11,+,113633762,113688448,NNMT,BC000234
7944006,chr11,+,113776593,113784845,RBM7,NM_016090
7944011,chr11,+,113815317,113826208,REXO2,NM_015523
7944021,chr11,+,113903060,113903163,---,ENST00000388462
7944023,chr11,+,114054476,114084251,FAM55B,BC111797
7944033,chr11,+,115696270,115696371,---,ENST00000388475
7944042,chr11,+,116520249,116544024,PAFAH1B2,NM_002572
7944049,chr11,+,116555148,116573371,SIDT2,NM_001040455
7944082,chr11,+,116575249,116580718,TAGLN,NM_001001522
7944096,chr11,+,116608613,116661614,RNF214,NM_207343
7944113,chr11,+,116703780,116789192,CEP164,NM_014956
7944147,chr11,+,117196147,117196613,---,X65705
7944152,chr11,+,117362315,117377406,IL10RA,NM_001558
7944164,chr11,+,117452936,117495766,TMPRSS4,NM_019894
7944179,chr11,+,117680692,117692099,CD3E,BC049847
7944185,chr11,+,117720268,117729707,CD3G,NM_000073
7944195,chr11,+,117735511,117775136,UBE4A,NM_004788
7944216,chr11,+,117777313,117785772,ATP5L,NM_006476
7944223,chr11,+,117812437,117898095,MLL,L04284
7944262,chr11,+,117813116,117815083,MLL,BC090876
7944271,chr11,+,117903419,117906950,TTC36,NM_001080441
7944275,chr11,+,117907012,117911759,TMEM25,NM_032780
7944285,chr11,+,117948311,117978955,ARCN1,NM_001655
7944300,chr11,+,117969912,117970018,---,ENST00000384456
7944302,chr11,+,117982422,118033951,PHLDB1,NM_015157
7944331,chr11,+,118078260,118078366,---,ENST00000384731
7944333,chr11,+,118211928,118212030,---,ENST00000364665
7944335,chr11,+,118269310,118272181,CXCR5,NM_032966
7944339,chr11,+,118307130,118307396,---,ENST00000388541
7944341,chr11,+,118332217,118334478,UPK2,NM_006760
7944351,chr11,+,118347626,118357205,FOXR1,NM_181721
7944359,chr11,+,118370253,118370479,---,ENST00000388549
7944363,chr11,+,118370593,118370680,---,ENST00000388580
7944365,chr11,+,118374061,118391665,CCDC84,NM_198489
7944375,chr11,+,118394450,118399592,TRAPPC4,NM_016146
7944382,chr11,+,118443702,118457898,VPS11,NM_021729
7944401,chr11,+,118460796,118469469,HMBS,NM_000190
7944418,chr11,+,118483302,118493037,C2CD2L,NM_014807
7944435,chr11,+,118497497,118510975,MIZF,NM_015517
7944447,chr11,+,118524959,118538582,ABCG4,NM_022169
7944463,chr11,+,118544689,118559933,NLRX1,BC110890
7944478,chr11,+,118561404,118566130,PDZD3,NM_024791
7944493,chr11,+,118582199,118684069,CBL,NM_005188
7944510,chr11,+,118710650,118713229,RNF26,BC000058
7944516,chr11,+,118984344,119035204,---,AK127233
7944525,chr11,+,119032230,119032336,---,ENST00000362347
7944527,chr11,+,119544894,119547597,LOC729173,AK096981
7944530,chr11,+,119586956,119605860,OAF,NM_178507
7944537,chr11,+,119616160,119695863,POU2F3,NM_014352
7944554,chr11,+,119701225,119706557,TMEM136,NM_174926
7944560,chr11,+,119713155,119865855,ARHGEF12,NM_015313
7944601,chr11,+,119866485,119867953,---,AB064668
7944603,chr11,+,120036180,120362342,GRIK4,ENST00000278723
7944623,chr11,+,120400022,120465564,TBCEL,NM_152715
7944632,chr11,+,120478584,120566725,TECTA,NM_005422
7944656,chr11,+,120668597,120689329,SC5DL,NM_006918
7944667,chr11,+,120828170,121009681,SORL1,NM_003105
7944716,chr11,+,121380308,121380366,---,ENST00000388623
7944718,chr11,+,121825135,121825251,---,ENST00000388639
7944720,chr11,+,121827390,121827519,---,ENST00000388645
7944722,chr11,+,122031607,122190397,UBASH3B,NM_032873
7944739,chr11,+,122214415,122248544,CRTAM,ENST00000227348
7944751,chr11,+,122258682,122335640,C11orf63,NM_024806
7944763,chr11,+,122302951,122303091,---,ENST00000362839
7944765,chr11,+,122379513,122379581,---,ENST00000388666
7944767,chr11,+,122677307,122677441,---,ENST00000363626
7944769,chr11,+,122901737,122998728,GRAMD1B,NM_020716
7944791,chr11,+,123139844,123140007,---,ENST00000363327
7944793,chr11,+,123282307,123283393,OR8D4,BC137180
7944795,chr11,+,123315533,123316490,OR4D5,NM_001001965
7944797,chr11,+,123391491,123392427,OR10G4,NM_001004462
7944801,chr11,+,123405506,123406551,OR10G8,BC136917
7944803,chr11,+,123491320,123522828,VWA5A,NM_014622
7944825,chr11,+,123534705,123535048,OR10D1P,X64981
7944827,chr11,+,123561186,123562125,OR10D3P,ENST00000318666
7944829,chr11,+,123583099,123584032,---,ENST00000318460
7944832,chr11,+,123590555,123591544,OR8G2,ENST00000334412
7944834,chr11,+,123600607,123601522,OR8G2,NM_001007249
7944838,chr11,+,123625632,123640966,OR8G5,NM_001002905
7944843,chr11,+,123945102,123946245,OR8A1,BC137194
7944845,chr11,+,123986662,123995461,PANX3,NM_052959
7944850,chr11,+,123997951,124011032,TBRG1,NM_032811
7944869,chr11,+,124048949,124069895,SPA17,NM_017425
7944876,chr11,+,124115038,124122312,NRGN,NM_006176
7944882,chr11,+,124240491,124256572,ROBO3,NM_022370
7944911,chr11,+,124294355,124295783,HEPN1,AY275431
7944913,chr11,+,124329226,124416595,CCDC15,NM_025004
7944931,chr11,+,124438222,124465621,SLC37A2,NM_198277
7944952,chr11,+,124488266,124501887,---,AK128036
7944955,chr11,+,124539768,124808495,PKNOX2,NM_022062
7944970,chr11,+,124652657,124652762,---,ENST00000388707
7944972,chr11,+,124870319,124874630,MGC39545,BC036197
7944978,chr11,+,124944626,124959334,EI24,BC002390
7944989,chr11,+,124949824,124949922,---,ENST00000386439
7944991,chr11,+,124967948,124996490,STT3A,NM_152713
7945014,chr11,+,125001521,125030850,CHEK1,NM_001274
7945033,chr11,+,125121397,125124953,PATE,NM_138294
7945040,chr11,+,125262824,125275750,HYLS1,ENST00000392698
7945045,chr11,+,125279481,125298215,DDX25,NM_013264
7945058,chr11,+,125586828,125637751,FAM118B,NM_024556
7945069,chr11,+,125620139,125620387,---,ENST00000386481
7945071,chr11,+,125644264,125653237,FOXRED1,NM_017547
7945084,chr11,+,125656761,125656840,---,ENST00000386523
7945086,chr11,+,125658191,125670038,TIRAP,NM_001039661
7945101,chr11,+,125678856,125720854,DCPS,NM_014026
7945110,chr11,+,125731305,125789743,ST3GAL4,NM_006278
7945125,chr11,+,126378507,126379340,PRR10,BC113593
7945130,chr11,+,126782955,126783196,---,ENST00000386420
7945132,chr11,+,128069022,128188372,FLI1,NM_002017
7945146,chr11,+,128266568,128293082,KCNJ5,D50134
7945156,chr11,+,128405563,128405677,---,ENST00000384120
7945158,chr11,+,128578070,128578175,---,ENST00000362390
7945162,chr11,+,128751044,128826851,BARX2,AF031924
7945169,chr11,+,129190950,129235108,TMEM45B,NM_138788
7945177,chr11,+,129378042,129379808,C11orf37,BC137306
7945182,chr11,+,129444925,129519915,APLP2,NM_001642
7945204,chr11,+,129534891,129585467,ST14,NM_021978
7945226,chr11,+,129685284,129685581,---,ENST00000386401
7945228,chr11,+,129689628,129778343,FLJ34521,AK091840
7945232,chr11,+,129824078,129848926,ADAMTS15,NM_139055
7945241,chr11,+,130048060,130092457,C11orf44,AK096377
7945245,chr11,+,131285921,131711926,HNT,NM_016522
7945260,chr11,+,130760353,130760450,---,ENST00000386489
7945262,chr11,+,133444188,133526856,JAM3,BC012147
7945275,chr11,+,133599770,133622896,VPS26B,NM_052875
7945283,chr11,+,133628643,133640956,ACAD8,NM_014384
7945296,chr11,+,133651484,133694668,GLB1L3,NM_001080407
7945321,chr11,+,133706977,133751427,GLB1L2,NM_138342
7945349,chr11,-,192923,197422,BET1L,NM_016526
7945357,chr11,-,205029,226362,SIRT3,NM_012239
7945368,chr11,-,288458,289519,IFITM5,BC150562
7945371,chr11,-,309736,310765,IFITM3,ENST00000270031
7945377,chr11,-,395715,407397,SIGIRR,NM_021805
7945394,chr11,-,407929,432011,ANO9,NM_001012302
7945418,chr11,-,430472,430692,---,ENST00000386623
7945420,chr11,-,486380,493183,RNH1,AK027172
7945436,chr11,-,522241,525550,HRAS,NM_176795
7945445,chr11,-,544857,550779,C11orf35,BC039077
7945460,chr11,-,558088,558198,---,hsa-mir-210
7945462,chr11,-,602554,605999,IRF7,NM_001572
7945475,chr11,-,607258,616078,MUPCDH,ENST00000358353
7945498,chr11,-,616312,617173,SCT,NM_021920
7945503,chr11,-,634232,685403,DEAF1,AF049460
7945521,chr11,-,757222,767487,PDDC1,NM_182612
7945536,chr11,-,777109,780126,CEND1,NM_016564
7945539,chr11,-,780474,786221,SLC25A22,NM_024698
7945550,chr11,-,789178,794464,LRDD,NM_145887
7945573,chr11,-,829721,832529,POLR2L,NM_021128
7945579,chr11,-,858395,900823,CHID1,ENST00000323578
7945595,chr11,-,1002823,1026706,MUC6,NM_005961
7945620,chr11,-,1252176,1287415,TOLLIP,NM_019009
7945631,chr11,-,1447268,1742077,HCCA2,NM_053005
7945641,chr11,-,1531856,1543742,DUSP8,ENST00000331588
7945645,chr11,-,1562147,1563089,KRTAP5-1,NM_001005922
7945648,chr11,-,1575522,1576056,KRTAP5-2,ENST00000382169
7945652,chr11,-,1585370,1586269,KRTAP5-3,NM_001012708
7945657,chr11,-,1598763,1599944,KRTAP5-4,NM_001012709
7945663,chr11,-,1713021,1726908,CTSD,BC036199
7945666,chr11,-,1730560,1741798,CTSD,NM_001909
7945680,chr11,-,1972981,1975641,H19,NR_002196
7945688,chr11,-,2106922,2127409,INS-IGF2,NM_001007139
7945712,chr11,-,2141734,2149611,TH,NM_199292
7945730,chr11,-,2246303,2248758,ASCL2,NM_005170
7945734,chr11,-,2273445,2279866,C11orf21,AB029488
7945742,chr11,-,2382321,2400851,TRPM5,NM_014555
7945767,chr11,-,2861023,2863571,CDKN1C,NM_000076
7945774,chr11,-,2865903,2881546,SLC22A18AS,AF037066
7945781,chr11,-,2906078,2907226,PHLDA2,NM_003311
7945786,chr11,-,2922235,2970183,NAP1L4,NM_005969
7945801,chr11,-,2941576,2941699,SNORA54,NR_002982
7945803,chr11,-,2978734,3035247,CARS,NM_001014438
7945829,chr11,-,3026164,3026327,---,ENST00000364746
7945831,chr11,-,3064921,3143158,OSBPL5,NM_020896
7945857,chr11,-,3196457,3196619,MRGPRG,AY255583
7945859,chr11,-,3205666,3206605,MRGPRE,ENST00000328215
7945864,chr11,-,3336586,3357024,ZNF195,NM_007152
7945882,chr11,-,3616311,3619806,ART5,BC014577
7945894,chr11,-,3642968,3643065,---,ENST00000363331
7945896,chr11,-,3643392,3649190,CHRNA10,NM_020402
7945902,chr11,-,3652815,3775468,NUP98,NM_016320
7945942,chr11,-,3692577,3692644,---,ENST00000386356
7945944,chr11,-,3804783,3818789,RHOG,NM_001665
7945950,chr11,-,3870198,3870690,---,ENST00000312958
7945952,chr11,-,3966962,3967268,---,ENST00000311040
7945958,chr11,-,4345156,4346101,OR52B4,NM_001005161
7945962,chr11,-,4362702,4371502,TRIM21,NM_003141
7945972,chr11,-,4409092,4409653,---,ENST00000307648
7945974,chr11,-,4549229,4555626,C11orf40,AF439154
7945979,chr11,-,4576480,4586027,TRIM68,ENST00000300747
7945989,chr11,-,4638658,4639539,---,ENST00000324875
7945991,chr11,-,4657976,4675652,OR51E2,NM_030774
7945997,chr11,-,4668563,4669970,---,ENST00000357764
7945999,chr11,-,4746784,4747723,OR51F1,NM_001004752
7946001,chr11,-,4781238,4782423,OR52R1,NM_001005177
7946004,chr11,-,4826042,4827014,OR51S1,NM_001004758
7946006,chr11,-,4837461,4838370,OR51H1P,ENST00000322059
7946008,chr11,-,4867404,4868402,---,ENST00000355607
7946011,chr11,-,4892524,4893469,OR51G2,NM_001005238
7946013,chr11,-,4901179,4902145,OR51G1,NM_001005237
7946015,chr11,-,4923964,4924906,OR51A4,NM_001005329
7946017,chr11,-,4932577,4933519,OR51A2,NM_001004748
7946019,chr11,-,5036455,5037433,OR52E2,NM_001005164
7946021,chr11,-,5098469,5099384,OR52A4,NM_001005222
7946023,chr11,-,5109497,5110448,OR52A5,NM_001005160
7946025,chr11,-,5129236,5130175,OR52A1,NM_012375
7946027,chr11,-,5148335,5149029,---,ENST00000321307
7946029,chr11,-,5155519,5156359,OR52Z1,ENST00000321294
7946031,chr11,-,5177540,5178506,OR51V1,NM_001004760
7946033,chr11,-,5203271,5204877,HBB,NM_000518
7946041,chr11,-,5210483,5212289,HBD,ENST00000292901
7946061,chr11,-,5246157,5483410,HBE1,ENST00000380237
7946067,chr11,-,5278819,5279752,OR51B4,NM_033179
7946069,chr11,-,5301103,5302158,OR51B2,NM_033180
7946071,chr11,-,5320319,5321385,OR51B5,BC136707
7946073,chr11,-,5418375,5419320,OR51I1,NM_001005288
7946078,chr11,-,5485105,5487729,UBQLN3,NM_017481
7946082,chr11,-,5492198,5494532,UBQLNL,NM_145053
7946087,chr11,-,5522366,5523329,OR52H1,NM_001005289
7946089,chr11,-,5641372,5658038,TRIM5,AF220025
7946105,chr11,-,5755439,5756473,OR52N5,BC136981
7946107,chr11,-,5765659,5766622,OR52N1,NM_001001913
7946109,chr11,-,5818761,5819758,OR52E6,ENST00000379946
7946111,chr11,-,5834554,5835508,OR52E8,NM_001005168
7946113,chr11,-,5944982,5946096,LOC390084,ENST00000340110
7946115,chr11,-,5963697,5964791,OR52L1,NM_001005173
7946117,chr11,-,5979856,5980954,OR56A4,NM_001005179
7946119,chr11,-,6004476,6005547,OR56A1,BC136904
7946121,chr11,-,6035121,6036081,OR52L2P,ENST00000316540
7946123,chr11,-,6129489,6130010,---,AF359415
7946125,chr11,-,6147160,6148132,OR52B2,NM_001004052
7946128,chr11,-,6189142,6212433,FAM160A2,BC030825
7946142,chr11,-,6296751,6298316,PRKCDBP,NM_145040
7946149,chr11,-,6372930,6396876,APBB1,NM_001164
7946167,chr11,-,6408843,6418830,HPX,NM_000613
7946180,chr11,-,6426419,6452265,TRIM3,AK291396
7946201,chr11,-,6454327,6459117,ARFIP2,ENST00000396777
7946211,chr11,-,6577952,6581308,KIAA0409,D87060
7946221,chr11,-,6588653,6590008,TAF10,BC012088
7946228,chr11,-,6590572,6597268,TPP1,NM_000391
7946245,chr11,-,6599133,6633650,DCHS1,NM_003737
7946267,chr11,-,6658191,6661208,MRPL17,NM_022061
7946275,chr11,-,6690953,6699686,GVIN1,NR_003945
7946278,chr11,-,6745813,6746764,OR2AG2,NM_001004490
7946280,chr11,-,6772331,6773715,OR6A2,NM_003696
7946286,chr11,-,6869380,6870307,OR2D2,NM_003700
7946288,chr11,-,6977124,6998162,ZNF214,NM_013249
7946292,chr11,-,7642911,7651279,CYB5R2,BC001346
7946306,chr11,-,7669019,7684517,OVCH2,NM_198185
7946321,chr11,-,7751012,7751771,---,ENST00000299512
7946323,chr11,-,7774096,7775065,OR5P2,NM_153444
7946326,chr11,-,7803159,7804095,OR5P3,NM_153445
7946328,chr11,-,7867332,7867402,---,ENST00000386688
7946330,chr11,-,7905840,7906785,OR10A6,NM_001004461
7946332,chr11,-,7916698,7917643,OR10A3,NM_001003745
7946334,chr11,-,7937731,7941635,NLRP10,NM_176821
7946340,chr11,-,8084172,8147166,RIC3,NM_024557
7946354,chr11,-,8202432,8241982,LMO1,NM_002315
7946365,chr11,-,8369993,8453947,STK33,AJ303380
7946380,chr11,-,8593661,8636959,TRIM66,ENST00000299550
7946401,chr11,-,8671474,8789458,ST5,NM_139157
7946426,chr11,-,8855539,8855641,---,ENST00000365406
7946428,chr11,-,8898198,8911129,C11orf16,NM_020643
7946436,chr11,-,8915694,8921156,ASCL3,NM_020646
7946439,chr11,-,8925415,8942565,TMEM9B,NM_020644
7946446,chr11,-,8958698,8982172,NRIP3,NM_020645
7946454,chr11,-,8998698,9069669,SCUBE2,BC111690
7946478,chr11,-,9116948,9243447,DENND5A,NM_015213
7946504,chr11,-,9259286,9292872,TMEM41B,NM_015012
7946516,chr11,-,9756789,10272330,SBF2,NM_030962
7946561,chr11,-,10377314,10377440,---,ENST00000408647
7946567,chr11,-,10488332,10488403,---,ENST00000386723
7946569,chr11,-,10492865,10519310,RNF141,AF214680
7946579,chr11,-,10535988,10546941,LYVE1,NM_006691
7946589,chr11,-,10554446,10630499,MRVI1,AF081249
7946610,chr11,-,10775168,10787158,EIF4G2,NM_001418
7946635,chr11,-,10830922,10836168,ZBED5,BC038508
7946641,chr11,-,11248996,11600137,GALNTL4,NM_198516
7946655,chr11,-,11329896,11331480,CSNK2A1P,NR_002207
7946661,chr11,-,11941118,11986762,DKK3,NM_001018057
7946676,chr11,-,12882939,12883111,---,ENST00000390835
7946678,chr11,-,13304335,13304411,---,ENST00000386738
7946680,chr11,-,13366131,13441414,BTBD10,NM_032320
7946687,chr11,-,13470176,13474143,PTH,NM_000315
7946693,chr11,-,13664672,13664781,---,ENST00000363815
7946695,chr11,-,13885594,13885713,---,ENST00000364986
7946697,chr11,-,14256041,14337305,RRAS2,NM_012250
7946703,chr11,-,14435624,14477980,COPB1,NM_016451
7946728,chr11,-,14482998,14621756,PSMA1,NM_148976
7946742,chr11,-,14856131,14870327,CYP2R1,NM_024514
7946749,chr11,-,14946623,14950408,CALCA,NM_001033952
7946757,chr11,-,15944571,16380989,SOX6,NM_017508
7946781,chr11,-,16765787,16992539,PLEKHA7,NM_175058
7946812,chr11,-,17052514,17055796,RPS13,NM_001017
7946815,chr11,-,17064699,17147930,PIK3C2A,NM_002645
7946849,chr11,-,17093774,17093886,---,ENST00000364716
7946851,chr11,-,17251984,17252128,---,ENST00000386804
